"","Tool","Cutoff","Rank","Value","OriginalValue","TP","FN","FP","TN","Precision","Recall","F1score","TPR","TNR","FPR"
"512","Tombo_denovo",8980.24373822766,1771,0.999999,1,44,3821,8936,2568669,0.00489977728285078,0.00701663201663202,0.00577018349960658,0.0113842173350582,0.996530857933275,0.00346914206672508
"513","Tombo_denovo",9747.72643890672,1900,0.9927990144,0.9928,53,3817,9694,2568667,0.00543757053452344,0.00805613305613306,0.00649277515752785,0.0136950904392765,0.996237506709728,0.00376249329027205
"514","Tombo_denovo",10580.8008666048,2078,0.9845990308,0.9846,64,3811,10516,2568667,0.00604914933837429,0.00961538461538462,0.0074263170109074,0.0165161290322581,0.995919490254465,0.00408050974553466
"515","Tombo_denovo",11485.0727172541,2253,0.9761990476,0.9762,73,3806,11412,2568666,0.00635611667392251,0.0109147609147609,0.00803381223518684,0.0188192833204434,0.995573058499867,0.00442694150013267
"516","Tombo_denovo",12466.6267689566,2422,0.967499065,0.9675,91,3796,12375,2568666,0.00729985560725172,0.0135135135135135,0.00947916666666667,0.0234113712374582,0.995200977255541,0.00479902274445931
"517","Tombo_denovo",13532.0678260036,2645,0.9576990846,0.9577,114,3784,13418,2568665,0.0084244753177653,0.0166320166320166,0.0111840088294807,0.0292457670600308,0.994798172343397,0.00520182765660339
"518","Tombo_denovo",14688.565162113,2876,0.9473991052,0.9474,129,3777,14559,2568665,0.00878267973856209,0.0184511434511435,0.0119006782568021,0.033026113671275,0.994357834003516,0.00564216599648425
"519","Tombo_denovo",15943.9007619398,3115,0.935499129,0.9355,152,3764,15791,2568663,0.00953396474941981,0.0218295218295218,0.0132716042966403,0.0388151174668029,0.993882755460138,0.00611724453986242
"520","Tombo_denovo",17306.5216854725,3381,0.9230991538,0.9231,179,3749,17127,2568663,0.0103432335606148,0.0257276507276507,0.01475467572768,0.0455702647657841,0.993367972032955,0.00663202796704548
"521","Tombo_denovo",18785.5969076723,3669,0.9090991818,0.9091,205,3733,18580,2568661,0.0109129624700559,0.0298856548856549,0.0159878472016181,0.0520568816658202,0.992808601191651,0.00719139880834883
